コメダ珈琲店,,,,12/28(水),,12/29(木),,12/30(金),,12/31(土),,1/1(日),,1/2(月),,1/3(火),,1/4(水),,
都道府県,店舗名,市,TEL,開店時間,閉店時間,開店時間,閉店時間,開店時間,閉店時間,開店時間,閉店時間,開店時間,閉店時間,開店時間,閉店時間,開店時間,閉店時間,開店時間,閉店時間,備考
北海道,旭川買物公園通り店,旭川市1条通7丁目,0166-73-8980,7:00,23:00,7:00,23:00,7:00,23:00,7:00,18:00,9:00,18:00,7:00,23:00,7:00,23:00,7:00,23:00,
,イオン釧路店,釧路郡,0154-65-6725,9:00,21:00,9:00,21:00,9:00,21:00,9:00,17:00,9:00,20:00,9:00,21:00,9:00,21:00,9:00,21:00,
,江別一番町店,江別市,011-385-0058,7:00,21:00,7:00,21:00,7:00,17:00,7:00,17:00,7:00,17:00,7:00,17:00,7:00,17:00,7:00,17:00,1月5日 開店時間 7:00  閉店時間 17:00
,新琴似一番通店,札幌市,011-766-5105,7:00,23:00,7:00,23:00,7:00,23:00,7:00,17:00,9:00,17:00,7:00,21:00,7:00,21:00,7:00,23:00,
,北12条東店,札幌市,011-299-3500,7:00,23:00,7:00,23:00,7:00,23:00,7:00,17:00,9:00,17:00,7:00,21:00,7:00,21:00,7:00,23:00,
,手稲前田店,札幌市手稲区,011-691-6007,7:00,21:00,7:00,21:00,7:00,21:00,9:00,18:00,9:00,18:00,9:00,18:00,7:00,18:00,7:00,21:00,
,清田北野店,札幌市清田区,011-886-5539,7:00,23:00,7:00,23:00,7:00,23:00,7:00,17:00,9:00,17:00,7:00,21:00,7:00,21:00,7:00,23:00,
,二十四軒店,札幌市西区,011-611-7111,7:00,23:00,7:00,23:00,7:00,23:00,7:00,17:00,9:00,17:00,7:00,21:00,7:00,21:00,7:00,23:00,
,狸小路2丁目店,札幌市中央区,011-585-5011,7:30,22:00,7:30,22:00,7:30,22:00,9:00,18:00,9:00,18:00,9:00,18:00,9:00,18:00,7:30,23:00,
,大通西6丁目店,札幌市中央区,011-596-8988,7:30,22:00,7:30,22:00,7:30,21:00,9:00,15:00,9:00,15:00,9:00,18:00,9:00,18:00,7:30,22:00,
,東雁来店,札幌市東区,011-790-7905,7:00,23:00,7:00,23:00,7:00,23:00,7:00,16:00,8:00,16:00,7:00,18:00,7:00,18:00,7:00,18:00,
,南34条石山通り店,札幌市南区,011-588-3320,7:00,23:00,7:00,23:00,7:00,23:00,7:00,18:00,7:00,23:00,7:00,23:00,7:00,23:00,7:00,23:00,
,東札幌5条店,札幌市白石区,011-799-0275,7:00,23:00,7:00,23:00,7:00,23:00,7:00,17:00,8:00,18:00,7:00,23:00,7:00,23:00,7:00,23:00,
,小樽運河通り店,小樽市色内,0134-26-6990,7:00,23:00,7:00,23:00,7:00,20:00,7:00,18:00,7:00,18:00,7:00,23:00,7:00,23:00,7:00,23:00,
,帯広西3条通り店,帯広市西3条,0155-66-7750,7:00,23:00,7:00,23:00,7:00,23:00,7:00,17:00,11:00,23:00,7:00,23:00,7:00,23:00,7:00,23:00,
,苫小牧弥生店,苫小牧市,0144-76-7607,7:00,20:00,7:00,20:00,7:00,17:00,7:00,17:00,7:00,17:00,7:00,17:00,7:00,17:00,7:00,17:00,1月5日 開店時間7:00 閉店時間17:00
,函館ベイエリア店,函館市,0138-86-7112,7:00,22:00,7:00,22:00,7:00,22:00,7:00,17:00,9:00,18:00,8:00,21:00,8:00,21:00,7:00,22:00,
,北見夕陽ヶ丘店,北見市美芳町,0157-57-9230,7:00,23:00,7:00,23:00,7:00,23:00,7:00,17:00,11:00,23:00,7:00,23:00,7:00,23:00,7:00,23:00,
,イオン上磯店,北斗市,0138-85-6820,7:00,22:00,7:00,22:00,7:00,22:00,7:00,18:00,休,休,9:00,21:00,9:00,21:00,7:00,22:00,
青森県,青森イトーヨーカドー店,青森市,017-718-3250,7:00,21:00,7:00,21:00,7:00,21:00,7:00,20:00,9:00,21:00,9:00,21:00,7:00,21:00,7:00,21:00,
,八戸城下店,八戸市,0178-20-0527,7:00,23:00,7:00,23:00,7:00,23:00,7:00,18:00,休,休,9:00,21:00,9:00,21:00,7:00,23:00,
岩手県,水沢台町店,奥州市,0197-47-6386,7:00,23:00,7:00,23:00,7:00,23:00,7:00,19:00,7:00,19:00,7:00,23:00,7:00,23:00,7:00,23:00,
,盛岡南店,盛岡市,019-656-7021,7:00,18:00,7:00,18:00,7:00,18:00,7:00,18:00,9:00,18:00,7:00,18:00,7:00,18:00,7:00,18:00,
,盛岡みたけ店,盛岡市,019-613-7381,7:00,23:00,7:00,23:00,7:00,23:00,7:00,20:00,7:00,23:00,7:00,23:00,7:00,23:00,7:00,23:00,
,イオンモール盛岡南店,盛岡市,019-601-9935,10:00,21:00,10:00,21:00,10:00,21:00,10:00,20:00,8:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,
,北上本石町店,北上市,0197-72-8988,7:00,23:00,7:00,23:00,7:00,23:00,7:00,19:00,7:00,19:00,7:00,23:00,7:00,23:00,7:00,23:00,
宮城県,利府店,宮城郡利府町,022-355-8244,7:00,21:00,7:00,21:00,7:00,21:00,7:00,21:00,8:00,21:00,7:00,21:00,7:00,21:00,7:00,21:00,
,石巻蛇田店,石巻市,0225-98-6959,6:30,23:00,6:30,23:00,6:30,23:00,6:30,18:00,9:00,18:00,6:30,23:00,6:30,23:00,6:30,23:00,
,仙台幸町店,仙台市宮城野区,022-781-9590,7:00,23:00,7:00,23:00,7:00,23:00,7:00,18:00,9:00,18:00,7:00,23:00,7:00,23:00,7:00,23:00,
,仙台荒井店,仙台市若林区,022-288-8819,7:00,22:30,7:00,22:30,7:00,22:30,7:00,17:00,休,休,7:00,18:00,7:00,22:30,7:00,22:30,
,仙台桂店,仙台市泉区,022-341-6351,7:00,18:00,7:00,18:00,7:00,18:00,7:00,18:00,休,休,9:00,18:00,9:00,18:00,7:00,22:00,12/26~12/27 7:00~18:00
,仙台富沢店,仙台市太白区,022-797-7990,7:00,23:00,7:00,23:00,7:00,23:00,7:00,18:00,9:00,18:00,7:00,23:00,7:00,23:00,7:00,23:00,
,大崎古川店,大崎市,0229-25-6824,7:00,22:00,7:00,22:00,7:00,21:00,休,休,休,休,休,休,休,休,7:00,22:00,
,富谷店,富谷市,022-342-1321,7:00,21:00,7:00,21:00,7:00,21:00,7:00,18:00,休,休,9:00,18:00,7:00,21:00,7:00,21:00,
,イオンモール名取店,名取市,022-398-9875,10:00,21:00,10:00,21:00,10:00,21:00,10:00,19:00,8:00,21:00,9:00,21:00,9:00,21:00,10:00,21:00,
秋田県,横手ハッピータウン店,横手市,0182-23-7850,7:00,23:00,7:00,23:00,7:00,23:00,7:00,18:00,7:00,18:00,7:00,23:00,7:00,23:00,7:00,23:00,
,秋田八橋店,秋田市,018-864-1510,7:00,22:00,7:00,22:00,7:00,22:00,7:00,22:00,休,休,休,休,休,休,7:00,22:00,
,秋田東通店,秋田市,018-853-1222,7:00,23:00,7:00,23:00,7:00,23:00,9:00,17:00,休,休,9:00,18:00,9:00,18:00,9:00,18:00,
山形県,山形南館店,山形市,023-674-6940,7:00,23:00,7:00,23:00,7:00,23:00,7:00,17:00,9:00,17:00,7:00,21:00,7:00,21:00,7:00,23:00,
,山形嶋南店,山形市,023-666-6210,7:00,23:00,7:00,23:00,7:00,23:00,7:00,17:00,9:00,17:00,7:00,21:00,7:00,21:00,7:00,23:00,
,酒田新橋店,酒田市,0234-25-0558,7:00,20:00,7:00,20:00,7:00,18:00,10:00,18:00,休,休,10:00,18:00,7:00,20:00,7:00,20:00,
,鶴岡南店,鶴岡市,0235-26-0678,7:00,23:00,7:00,23:00,7:00,23:00,7:00,18:00,8:00,20:00,7:00,23:00,7:00,23:00,7:00,23:00,
,米沢徳町店,米沢市,0238-21-1722,7:00,23:00,7:00,23:00,7:00,23:00,7:00,17:00,9:00,17:00,7:00,21:00,7:00,21:00,7:00,23:00,
福島県,いわき泉店,いわき市,0246-56-9866,7:00,22:30,7:00,22:30,7:00,22:30,7:00,17:00,休,休,7:00,17:00,7:00,22:30,7:00,22:30,
,会津若松白虎通り店,会津若松市,0242-23-4227,7:00,21:00,7:00,21:00,7:00,18:00,7:00,18:00,9:00,18:00,9:00,21:00,8:00,21:00,7:00,21:00,
,郡山富田店,郡山市,024-983-5801,7:00,23:00,7:00,23:00,6:00,23:00,7:00,18:00,9:00,18:00,9:00,20:00,7:00,20:00,7:00,23:00,
,郡山大槻店,郡山市,024-983-3421,7:00,23:00,7:00,23:00,6:00,23:00,7:00,18:00,9:00,18:00,7:00,20:00,7:00,22:00,7:00,23:00,
,ベイシア白河店,白河市,0248-21-5735,7:00,23:00,7:00,23:00,7:00,23:00,7:00,23:00,7:00,23:00,7:00,23:00,7:00,23:00,7:00,23:00,
,福島南中央店,福島市,024-563-1698,7:00,23:00,7:00,23:00,7:00,23:00,7:00,20:00,9:00,18:00,9:00,20:00,7:00,20:00,7:00,23:00,
茨城県,つくば店,つくば市,029-896-5832,6:00,23:00,7:00,23:00,7:00,23:00,7:00,18:00,7:00,18:00,7:00,21:00,7:00,21:00,6:00,23:00,
,ひたちなか長堀店,ひたちなか市,029-229-3223,7:00,22:00,7:00,22:00,7:00,22:00,7:00,17:00,9:00,17:00,9:00,17:00,7:00,22:00,7:00,22:00,
,ひたち野うしく店,牛久市,029-871-7272,7:00,22:30,7:00,22:30,7:00,22:30,7:00,20:00,7:00,20:00,7:00,22:30,7:00,22:30,7:00,22:30,
,古河三杉町店,古河市,0280-31-1133,7:00,21:00,7:00,21:00,7:00,21:00,7:00,20:00,7:00,20:00,7:00,21:00,7:00,21:00,7:00,21:00,
,鹿島神宮南店,鹿嶋市,0299-77-9244,7:00,21:00,7:00,21:00,7:00,19:00,7:00,18:00,7:00,19:00,7:00,19:00,7:00,19:00,7:00,19:00,
,守谷高野店,守谷市,0297-44-6234,7:00,21:30,7:00,21:30,7:00,21:30,7:00,17:00,9:00,17:00,9:00,17:00,7:00,21:30,7:00,21:30,
,神栖店,神栖市,0299-77-8812,7:00,21:00,7:00,21:00,7:00,21:00,7:00,18:00,休,休,9:00,18:00,7:00,18:00,7:00,21:00,
,水戸石川店,水戸市,029-291-6100,7:00,22:00,7:00,22:00,7:00,22:00,7:00,17:00,9:00,17:00,9:00,17:00,7:00,22:00,7:00,22:00,
,水戸元吉田町店,水戸市,029-350-6080,7:00,22:00,7:00,22:00,7:00,22:00,7:00,17:00,9:00,17:00,9:00,17:00,7:00,22:00,7:00,22:00,
,石岡旭台店,石岡市,029-956-7510,8:00,21:30,8:00,21:30,8:00,21:30,7:00,17:00,9:00,17:00,9:00,17:00,7:00,21:30,7:00,21:30,
