id,url,bread_list,q,a_text
1,https://faq.nissay.co.jp/faq/show/1?site_domain=default,よくあるご質問 > ベストドクターズ・サービス > ベストドクターズ・サービスとは何ですか？,ベストドクターズ・サービスとは何ですか？,"優秀な専門医(Best Doctors in Japan ™）の中から治療やセカンドオピニオンの取得に適した日本の医師を無料でご紹介するサービスです。 ※当社所定契約の被保険者様が利用できます。また、利用には対象疾患に罹患したと診断確定されていることが必要です。 ※当サービスは株式会社法研が提供するサービスであり、当社が提供する保険またはサービスではありません。 ※ベストドクターズ社は米国に本拠を置き、世界各国で病状に応じた適切な治療やセカンドオピニオン取得のための名医紹介等を行っています。日本では現在約6,500人が優秀な医師「Best Doctors in Japan ™」として選出されています。（2018年5月現在）"
2,https://faq.nissay.co.jp/faq/show/2?site_domain=default,よくあるご質問 > ベストドクターズ・サービス > ベストドクターズ・サービスは無料のサービスですか？,ベストドクターズ・サービスは無料のサービスですか？,無料のサービスです。 ただし、以下の費用は、お客様自身の負担となります。 ・紹介された医師の診察を受ける際の費用 ・セカンドオピニオンの取得にかかる費用 ・必要書類の準備にかかる費用  ※カルテ、紹介状が必要となる場合があります。
3,https://faq.nissay.co.jp/faq/show/3?site_domain=default,よくあるご質問 > ベストドクターズ・サービス > 家族が被保険者に代わってベストドクターズ・サービスを申込むことはできますか？,家族が被保険者に代わってベストドクターズ・サービスを申込むことはできますか？,以下のいずれかに該当する場合は、ご家族※1が被保険者様に代わって申込みできます※2。 被保険者様自身が病気であることの告知を受けていない場合 被保険者様自身が、認知症、自律神経失調症、躁うつ病、神経症、統合失調症、その他これらに類する疾病に罹患している場合 被保険者様自身の病状・治療状況・年齢等により、本人が当サービスの利用が困難な場合 ※1被保険者様の（１）配偶者、（２）２親等以内の親族、（３）法定代理人に限ります。 ※2ご家族が申込んだ場合、被保険者様自身への告知の有無に関わらず、申込んだご家族宛に「専門医ご案内の書類」を送付します。
4,https://faq.nissay.co.jp/faq/show/4?site_domain=default,よくあるご質問 > ベストドクターズ・サービス > 健康診断で、がんに罹患している可能性があると指摘されました。ベストドクター...,健康診断で、がんに罹患している可能性があると指摘されました。ベストドクターズ・サービスを利用することはできますか？,罹患した疑いがあるだけでは、ベストドクターズ・サービスを利用することはできません。 利用するためには、「対象疾患に罹患したと 『診断確定』されていること」が必要となります。
5,https://faq.nissay.co.jp/faq/show/5?site_domain=default,よくあるご質問 > ベストドクターズ・サービス > 特定の医師を指名して、紹介してもらうことはできますか？,特定の医師を指名して、紹介してもらうことはできますか？,お客様が医師を指名することはできません。 株式会社法研が、独自基準で選出した優秀な医師（Best Doctors in Japan）の中から、病状に適した専門医を選定し、紹介します。
6,https://faq.nissay.co.jp/faq/show/6?site_domain=default,よくあるご質問 > ベストドクターズ・サービス > 希望する地域の医師を紹介してもらうことはできますか？,希望する地域の医師を紹介してもらうことはできますか？,受診可能な地域を伺ったうえで、専門医を紹介します。 ただし、病状に適した専門医が、受診可能な地域内にいない場合は、紹介できません。
7,https://faq.nissay.co.jp/faq/show/7?site_domain=default,よくあるご質問 > ベストドクターズ・サービス > 専門医受診の予約はしてもらえますか？,専門医受診の予約はしてもらえますか？,予約は、お客様自身で行なってください。 株式会社法研では、お客様の病状などを専門医に伝え、受入れ可否の確認をします。 予約・受診方法については、送付する「専門医ご案内の書類」を確認ください。
8,https://faq.nissay.co.jp/faq/show/8?site_domain=default,よくあるご質問 > ベストドクターズ・サービス > ベストドクターズ・サービスでは医師の紹介状をもらえますか？,ベストドクターズ・サービスでは医師の紹介状をもらえますか？,専門医の紹介はできますが、紹介状を渡すことはできません。 お客様の病状に適した専門医を記載した「専門医ご案内の書類」に予約・受診方法等を記載していますので、そちらを参照しながら、お客様自身で予約し、受診ください。
9,https://faq.nissay.co.jp/faq/show/9?site_domain=default,よくあるご質問 > ベストドクターズ・サービス > 紹介された専門医を受診する際には何を持参すればいいですか？,紹介された専門医を受診する際には何を持参すればいいですか？,主治医から「診療情報提供書」を取得し、持参ください。 この「診療情報提供書」は診察内容が記載されており、「紹介状」としての扱いとなります。 紹介する専門医によっては、CTなどの画像の持参が必要な場合があるため、詳細については実際に受診する専門医にお問合せください。 なお、「診療情報提供書」の取得にかかる費用は、お客様自身の負担となります。
10,https://faq.nissay.co.jp/faq/show/10?site_domain=default,よくあるご質問 > ベストドクターズ・サービス > セカンドオピニオンを取得するにあたり、必要なものは何かありますか？,セカンドオピニオンを取得するにあたり、必要なものは何かありますか？,セカンドオピニオンを取得するには、どの医療機関でも原則、診療情報提供書（または紹介状）と検査データが必要になります。医師は、紹介状や検査データなどをもとに、今までの経過を含めて、総合的に判断しますので、診療情報提供書をお持ちにならないと経過が分からず、明確な意見をきくことができないこともあります。
